grid_point, number_obs_available, analysis_value
[0, 0],8.0,5280.218736537209
[0, 1],8.0,5310.583931055735
[0, 2],7.0,5334.949992552932
[0, 3],7.0,5362.724690579521
[0, 4],7.0,5391.021639787621
[0, 5],7.0,5421.2231737590555
[0, 6],6.0,5445.215688508808
[0, 7],6.0,5462.822775509508
[0, 8],7.0,5475.868092022623
[0, 9],6.0,5488.435697005992
[0, 10],6.0,5498.5946786842505
[0, 11],8.0,5506.036683604906
[0, 12],6.0,5519.323342887779
[0, 13],6.0,5537.418767957898
[0, 14],5.0,5557.040557726734
[0, 15],5.0,5577.548939943832
[0, 16],6.0,5600.244919388268
[0, 17],6.0,5622.698954712897
[0, 18],5.0,5650.311781794308
[0, 19],3.0,5669.9575927849355
[0, 20],3.0,5682.4444065617245
[0, 21],2.0,5694.668520563458
[1, 0],7.0,5276.663083613975
[1, 1],8.0,5303.829330629538
[1, 2],8.0,5328.494970965613
[1, 3],8.0,5356.054399080312
[1, 4],8.0,5383.408307882056
[1, 5],7.0,5408.694597904684
[1, 6],8.0,5429.900179426615
[1, 7],8.0,5447.793851561263
[1, 8],8.0,5463.720822603086
[1, 9],7.0,5472.299668855751
[1, 10],8.0,5480.188810432497
[1, 11],8.0,5486.962772509387
[1, 12],8.0,5499.295608199727
[1, 13],7.0,5516.284575547225
[1, 14],7.0,5531.368474082834
[1, 15],9.0,5552.804686262938
[1, 16],7.0,5579.739266355071
[1, 17],6.0,5600.870875393586
[1, 18],5.0,5622.986728659531
[1, 19],4.0,5649.3483892523245
[1, 20],4.0,5670.336172882677
[1, 21],2.0,5681.939814943503
[2, 0],7.0,5263.681170806584
[2, 1],8.0,5289.301416335075
[2, 2],8.0,5313.581054104899
[2, 3],9.0,5340.52999003239
[2, 4],8.0,5367.715023655033
[2, 5],8.0,5394.533497274626
[2, 6],8.0,5414.027709520581
[2, 7],8.0,5431.947295221591
[2, 8],10.0,5445.364245634935
[2, 9],9.0,5455.365410198431
[2, 10],10.0,5462.227953042172
[2, 11],9.0,5466.335824040525
[2, 12],9.0,5477.631669606505
[2, 13],10.0,5491.958437535244
[2, 14],9.0,5505.800046428602
[2, 15],10.0,5528.239731681312
[2, 16],9.0,5555.604340829444
[2, 17],8.0,5580.6833963936
[2, 18],6.0,5602.904705484803
[2, 19],6.0,5628.285620245048
[2, 20],4.0,5650.912581379112
[2, 21],3.0,5673.857095301231
[3, 0],5.0,5245.835878903714
[3, 1],7.0,5268.98802444841
[3, 2],7.0,5294.979111126428
[3, 3],8.0,5321.97682711085
[3, 4],6.0,5350.561372901383
[3, 5],8.0,5375.964826549972
[3, 6],7.0,5398.155992262213
[3, 7],9.0,5414.612368428129
[3, 8],9.0,5424.377919269966
[3, 9],9.0,5435.598116980606
[3, 10],11.0,5441.474707563375
[3, 11],11.0,5443.951680527182
[3, 12],10.0,5455.800392534838
[3, 13],10.0,5468.090485496739
[3, 14],10.0,5482.503541066484
[3, 15],11.0,5503.297034554768
[3, 16],10.0,5527.6594216946705
[3, 17],9.0,5555.123184885526
[3, 18],9.0,5580.786291552499
[3, 19],8.0,5602.2910226370295
[3, 20],7.0,5625.129636213298
[3, 21],5.0,5652.035814033607
[4, 0],6.0,5229.0630881208235
[4, 1],6.0,5250.1219935436475
[4, 2],7.0,5273.221835036619
[4, 3],6.0,5302.2686872597
[4, 4],6.0,5332.650795272293
[4, 5],8.0,5356.882627386887
[4, 6],8.0,5379.913471432581
[4, 7],10.0,5398.652490420157
[4, 8],9.0,5407.35294494976
[4, 9],11.0,5417.067070489487
[4, 10],13.0,5422.370993706152
[4, 11],11.0,5426.118152723018
[4, 12],12.0,5435.254396141625
[4, 13],12.0,5446.654736120085
[4, 14],12.0,5458.9503196937985
[4, 15],12.0,5479.107932692227
[4, 16],13.0,5503.134994118848
[4, 17],11.0,5532.514267524375
[4, 18],10.0,5559.242142604296
[4, 19],8.0,5582.320302072837
[4, 20],6.0,5602.264187807075
[4, 21],6.0,5624.752331693526
[5, 0],5.0,5210.323251763409
[5, 1],5.0,5233.154056021419
[5, 2],5.0,5259.79547415591
[5, 3],4.0,5289.016336109882
[5, 4],5.0,5317.066639673566
[5, 5],7.0,5342.431051764176
[5, 6],10.0,5367.831663437481
